id,Time Stamp,Step,Status,Prog Time,Step Time,Cycle,Cycle Level,Procedure,Voltage,Current,AhAccu,Energy,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status.1,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,UIdeal,AStart,MinDuration,MinPeriods,RemTime,VRelativ,AAmplitude,Betrag,Phase,ChamberT,ChamberSP,Temp45
1,4/28/2017 15:43,53,EIS,51:18.4,00:21.9,1,1,Pan_5pulse_EISSOC,3.54445,0,-2.03002,,0.001,6000,6000,2,-2,20,10,1,16,3.54786,21.93715,9.2091,6000,0,0.02,10,3,0,0,0,0,0,0.99895,0.41987,23.79172,22.77241,25,25,24.96068
2,4/28/2017 15:43,53,EIS,51:29.4,00:33.0,1,1,Pan_5pulse_EISSOC,3.54445,0,-2.03002,,0.001,6000,4499.36526,2,-2,20,10,2,16,3.54676,21.58236,6.97674,4571.42871,0,0.02,10,3,0,0,0,0,0,0.95201,0.41972,22.682,17.914,25,25,24.96068
3,4/28/2017 15:43,53,EIS,51:40.5,00:44.0,1,1,Pan_5pulse_EISSOC,3.54509,0,-2.03002,,0.001,6000,3374.04795,2,-2,20,10,3,16,3.54679,21.3832,5.01987,3428.57153,0,0.02,10,3,0,0,0,0,0,0.96731,0.44039,21.96453,13.21138,25,25,24.97188
4,4/28/2017 15:43,53,EIS,51:51.4,00:54.9,1,1,Pan_5pulse_EISSOC,3.54445,0,-2.03002,,0.001,6000,2530.17902,2,-2,20,10,4,16,3.54683,21.35004,3.34232,2526.31567,0,0.02,10,3,0,0,0,0,0,0.9832,0.45497,21.61008,8.89736,25,25,24.97188
5,4/28/2017 15:44,53,EIS,52:02.5,01:06.0,1,1,Pan_5pulse_EISSOC,3.54509,0,-2.03002,,0.001,6000,1897.3666,2,-2,20,10,5,16,3.54459,21.45192,2.06448,1882.35291,0,0.02,10,3,0,0,0,0,0,0.99685,0.46255,21.55103,5.49708,25,25,24.97188
6,4/28/2017 15:44,53,EIS,52:14.5,01:18.0,1,1,Pan_5pulse_EISSOC,3.54509,0,-2.03002,,0.001,6000,1422.82422,2,-2,20,10,6,16,3.55182,21.63157,1.12774,1432.83582,0,0.02,10,3,0,0,0,0,0,1.00491,0.46393,21.66095,2.98435,25,25,24.97188
7,4/28/2017 15:44,53,EIS,52:25.7,01:29.2,1,1,Pan_5pulse_EISSOC,3.54509,0,-2.03002,,0.001,6000,1066.96765,2,-2,20,10,7,16,3.55305,21.8877,0.33249,1066.66663,0,0.02,10,3,0,0,0,0,0,1.01036,0.46156,21.89023,0.87031,25,25,24.96068
8,4/28/2017 15:44,53,EIS,52:37.0,01:40.5,1,1,Pan_5pulse_EISSOC,3.54509,0,-2.03002,,0.001,6000,800.11286,2,-2,20,10,8,16,3.55059,22.18438,-0.27247,800,0,0.02,10,3,0,0,0,0,0,1.01351,0.45682,22.18605,-0.70369,25,25,24.75893
9,4/28/2017 15:44,53,EIS,52:48.8,01:52.3,1,1,Pan_5pulse_EISSOC,3.54509,0,-2.03002,,0.001,6000,600,2,-2,20,10,9,16,3.54692,22.51143,-0.74949,600,0,0.02,10,3,0,0,0,0,0,1.01515,0.4507,22.52391,-1.90688,25,25,24.75893
10,4/28/2017 15:45,53,EIS,53:00.4,02:03.9,1,1,Pan_5pulse_EISSOC,3.54509,0,-2.03002,,0.001,6000,449.93653,2,-2,20,10,10,16,3.54817,22.86367,-1.12664,450.70422,0,0.02,10,3,0,0,0,0,0,1.01515,0.44392,22.89141,-2.82104,25,25,24.75893
11,4/28/2017 15:45,53,EIS,53:12.2,02:15.7,1,1,Pan_5pulse_EISSOC,3.54509,0,-2.03002,,0.001,6000,337.4048,2,-2,20,10,11,16,3.54698,23.24517,-1.43245,336.8421,0,0.02,10,3,0,0,0,0,0,1.01722,0.43678,23.28927,-3.52631,25,25,24.92705
12,4/28/2017 15:45,53,EIS,53:24.4,02:27.9,1,1,Pan_5pulse_EISSOC,3.54509,0,-2.03002,,0.001,6000,253.0179,2,-2,20,10,12,16,3.54701,23.64123,-1.67608,253.29816,0,0.02,10,3,0,0,0,0,0,1.01752,0.42932,23.70057,-4.05528,25,25,24.97188
